true_intent,predicted_intent,count
virtual_card_not_working,get_disposable_virtual_card,7
pending_top_up,top_up_failed,5
change_pin,get_physical_card,4
card_arrival,card_delivery_estimate,4
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,4
top_up_failed,top_up_reverted,3
virtual_card_not_working,card_not_working,3
top_up_reverted,top_up_failed,3
unable_to_verify_identity,why_verify_identity,3
why_verify_identity,unable_to_verify_identity,3
verify_my_identity,why_verify_identity,3
why_verify_identity,verify_my_identity,3
transfer_timing,balance_not_updated_after_bank_transfer,3
fiat_currency_support,exchange_via_app,3
disposable_card_limits,getting_virtual_card,3
