true_intent,predicted_intent,count
why_verify_identity,verify_my_identity,7
pending_transfer,transfer_not_received_by_recipient,5
declined_transfer,declined_card_payment,4
card_delivery_estimate,card_arrival,4
card_arrival,card_delivery_estimate,4
balance_not_updated_after_bank_transfer,transfer_timing,4
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,3
pending_transfer,transfer_timing,3
top_up_failed,pending_top_up,3
transfer_into_account,top_up_by_cash_or_cheque,3
top_up_reverted,top_up_failed,3
wrong_amount_of_cash_received,declined_cash_withdrawal,3
pending_transfer,balance_not_updated_after_bank_transfer,3
get_disposable_virtual_card,getting_virtual_card,3
fiat_currency_support,exchange_via_app,3
